Wall time,Step,Value
1749928038.073244,4,1.8666636943817139
1749928039.1773908,9,1.6851513385772705
1749928040.0634487,13,2.1292505264282227
1749928040.720311,16,1.6224364042282104
1749928041.149939,18,1.1104254722595215
1749928042.67317,25,1.4516552686691284
1749928044.4083781,33,1.1329621076583862
1749928048.106819,50,1.5645182132720947
1749928049.2022822,55,1.4650967121124268
1749928050.0623937,59,1.3428397178649902
1749928050.7251627,62,1.8299297094345093
1749928051.8114867,67,1.0999990701675415
1749928052.0338717,68,1.556983232498169
1749928053.7817268,76,1.9524991512298584
1749928055.0744936,82,1.826638102531433
1749928056.3851542,88,1.6137975454330444
1749928057.251459,92,1.9168000221252441
1749928061.8871956,108,1.6515138149261475
1749928064.7532892,121,1.811314344406128
1749928065.203355,123,1.808964729309082
1749928068.5136638,138,2.362185478210449
1749928070.057239,145,1.79317045211792
1749928073.1589313,159,1.477405309677124
1749928073.3772664,160,2.135211944580078
1749928073.6019433,161,1.554695725440979
1749928074.047055,163,0.9385790228843689
1749928075.8200102,171,1.0831799507141113
1749928088.126026,222,0.9308379888534546
1749928090.1145236,231,1.751034140586853
1749928091.4456835,237,0.8843140602111816
1749928091.8890345,239,1.1892969608306885
1749928092.56737,242,1.704160451889038
1749928094.9945793,253,0.8419489860534668
1749928096.5619633,260,1.1013187170028687
1749928104.114611,294,0.7262085676193237
1749928106.9879975,302,0.9914602041244507
1749928107.4414818,304,0.8976333737373352
1749928110.3642068,317,0.881139874458313
1749928113.102117,329,0.8552422523498535
1749928118.397291,352,1.1141793727874756
1749928122.1958563,369,0.9726839065551758
1749928123.3296368,374,0.8094487190246582
1749928126.0416,386,0.5526282787322998
1749928126.4987245,388,0.509512186050415
1749928127.179661,391,0.7433112859725952
1749928134.9520826,421,0.5061804056167603
1749928137.894638,434,0.3996608853340149
1749928138.3506422,436,0.9411014318466187
1749928140.8363001,447,0.6169590950012207
1749928143.0943143,457,0.3643779754638672
1749928144.0083888,461,0.37703239917755127
1749928144.4664092,463,0.3180171847343445
1749928144.9109294,465,0.47749584913253784
1749928145.129803,466,0.3198346793651581
1749928146.2535794,471,0.32271116971969604
1749928148.0480366,479,0.3992309868335724
1749928149.3760624,485,0.2868436276912689
1749928151.412821,494,0.30339208245277405
1749928152.3171868,498,0.47730791568756104
1749928156.3457654,511,0.5021861791610718
1749928160.4456015,529,0.2982487082481384
1749928163.1620538,541,0.31300851702690125
1749928166.5494075,556,0.4117085933685303
1749928169.4389582,569,0.2706775367259979
1749928170.5327048,574,0.5586296916007996
1749928175.059135,594,0.41113704442977905
1749928175.2839825,595,0.34543535113334656
1749928184.266538,630,0.20918336510658264
1749928187.4383183,644,0.605852484703064
1749928193.5398018,671,0.27628540992736816
1749928200.110452,700,0.4871438145637512
1749928205.747061,720,0.17777152359485626
1749928207.5876951,728,0.1732979565858841
1749928209.6763372,737,0.17429578304290771
1749928211.7597382,746,0.19495458900928497
1749928212.6633856,750,0.13154444098472595
1749928213.5629117,754,0.22298301756381989
1749928215.8094018,764,0.30578261613845825
1749928221.5580308,789,0.276368111371994
1749928225.6647975,802,0.1455298215150833
1749928229.5843737,819,0.24323934316635132
1749928243.2841876,879,0.20120450854301453
1749928243.7478561,881,0.3314901292324066
1749928245.1313138,887,0.2159844934940338
1749928245.5932732,889,0.2679559588432312
1749928260.3202686,948,0.11628307402133942
1749928267.9353468,981,0.22876127064228058
1749928274.1729507,1003,0.32847315073013306
1749928282.8674943,1040,0.3269210457801819
1749928284.7475758,1048,0.23936720192432404
1749928287.8172734,1061,0.33762580156326294
1749928302.3765461,1119,0.13000881671905518
1749928304.6774,1129,0.15607473254203796
1749928308.3669443,1145,0.10578659176826477
1749928310.4330032,1154,0.19601723551750183
1749928310.6605113,1155,0.2836994528770447
1749928323.7509248,1207,0.15724605321884155
1749928324.2082088,1209,0.20429623126983643
1749928324.440523,1210,0.13832341134548187
1749928326.7485387,1220,0.1229989305138588
1749928326.978566,1221,0.29133427143096924
1749928327.6682096,1224,0.265484482049942
1749928330.4254444,1236,0.16586552560329437
1749928336.9019248,1264,0.23415285348892212
1749928337.1328957,1265,0.16197755932807922
1749928339.1962087,1274,0.1991819143295288
1749928339.4273317,1275,0.12371069192886353
1749928341.4876392,1284,0.16953516006469727
1749928341.9336514,1286,0.44967120885849
1749928342.6157973,1289,0.14237354695796967
1749928344.2084303,1296,0.1416315883398056
1749928346.9211464,1303,0.14689478278160095
1749928349.2019875,1313,0.12527938187122345
1749928350.0756302,1317,0.115020252764225
1749928350.3024824,1318,0.10210658609867096
1749928351.8978486,1325,0.15300752222537994
1749928354.838421,1338,0.1061670333147049
1749928355.7287884,1342,0.21094363927841187
1749928358.8372931,1356,0.09475287050008774
1749928361.2830486,1367,0.11316094547510147
1749928362.3832428,1372,0.10218522697687149
1749928363.2655518,1376,0.21352583169937134
1749928365.4526188,1386,0.1506986916065216
1749928366.7657878,1392,0.10907246172428131
1749928370.5170171,1404,0.16802901029586792
1749928370.7488804,1405,0.08046486228704453
1749928377.832832,1436,0.316436231136322
1749928383.325019,1460,0.12341582775115967
1749928385.1556923,1468,0.10052367299795151
1749928389.0722098,1485,0.16493842005729675
1749928393.8142807,1501,0.2788187861442566
1749928394.0525515,1502,0.11643121391534805
1749928394.5172567,1504,0.10106682777404785
1749928395.2170923,1507,0.17915642261505127
1749928397.0442576,1515,0.26389551162719727
1749928397.2775042,1516,0.1132863312959671
1749928397.9813998,1519,0.10397694259881973
1749928401.4518847,1534,0.08628033846616745
1749928401.6818674,1535,0.10711955279111862
1749928402.843524,1540,0.20169025659561157
1749928403.080203,1541,0.15375620126724243
1749928410.4229174,1573,0.12416305392980576
1749928411.8057702,1579,0.15791146457195282
1749928415.7729692,1596,0.1121547669172287
1749928418.4910724,1603,0.1578121781349182
1749928419.849462,1609,0.11074657738208771
1749928423.5388288,1625,0.11112552881240845
1749928426.0564175,1636,0.08753199130296707
1749928430.8466306,1657,0.12092548608779907
1749928432.2240272,1663,0.15197549760341644
1749928432.911695,1666,0.22796881198883057
1749928433.145154,1667,0.1042977049946785
1749928434.0645096,1671,0.15554079413414001
1749928434.296719,1672,0.2402414083480835
1749928436.592373,1682,0.17450842261314392
1749928437.9677172,1688,0.1278619021177292
1749928442.7339206,1704,0.1009039431810379
1749928444.3447604,1711,0.12063515186309814
1749928444.7961714,1713,0.1359560489654541
1749928445.7095964,1717,0.11212873458862305
1749928446.393518,1720,0.07306697219610214
1749928446.6255436,1721,0.15259844064712524
1749928449.8277965,1735,0.16618406772613525
1749928451.4263198,1742,0.20564201474189758
1749928452.5720394,1747,0.08764894306659698
1749928458.3532972,1772,0.06744370609521866
1749928461.1042013,1784,0.10913471132516861
1749928472.9128177,1830,0.08887215703725815
1749928478.9319212,1856,0.10736511647701263
1749928481.921052,1869,0.11904582381248474
1749928485.388654,1884,0.14183129370212555
1749928486.0937526,1887,0.14081984758377075
1749928491.622682,1906,0.28195518255233765
1749928492.5362232,1910,0.18191002309322357
1749928498.3664582,1935,0.07497261464595795
1749928499.7652857,1941,0.16766443848609924
1749928501.3717747,1948,0.07533210515975952
1749928502.7818575,1954,0.1732194423675537
1749928504.4048908,1961,0.07968957722187042
1749928504.6348426,1962,0.09654724597930908
1749928506.2449055,1969,0.11163404583930969
1749928507.6198626,1975,0.07561890035867691
1749928508.3088453,1978,0.08528299629688263
1749928510.6375852,1988,0.09135445207357407
1749928512.4993677,1996,0.11619633436203003
1749928516.584373,2009,0.2967468500137329
1749928517.9798067,2015,0.07858744263648987
1749928522.1695411,2033,0.06703841686248779
1749928523.0802314,2037,0.11109793186187744
1749928528.8329418,2062,0.08914753794670105
1749928529.295162,2064,0.133527934551239
1749928529.749649,2066,0.08490511029958725
1749928546.7372606,2135,0.09819985926151276
1749928549.0820456,2145,0.14035555720329285
1749928550.0233765,2149,0.10127030313014984
1749928552.115677,2158,0.08757378160953522
1749928555.1336176,2171,0.1129639595746994
1749928557.6800673,2182,0.08312129229307175
1749928565.564984,2211,0.12867504358291626
1749928568.8397212,2225,0.11667754501104355
1749928573.025683,2243,0.14302107691764832
1749928574.8924708,2251,0.099262535572052
1749928580.7089484,2276,0.0964435338973999
1749928581.4306505,2279,0.07674606144428253
1749928586.3436086,2300,0.08580732345581055
1749928590.6209388,2314,0.07231180369853973
1749928591.7744071,2319,0.19644099473953247
1749928598.3291695,2347,0.18717437982559204
1749928600.6482317,2357,0.06385431438684464
1749928602.2685146,2364,0.09783725440502167
1749928607.171302,2385,0.07702884078025818
1749928614.0593917,2410,0.08706313371658325
1749928615.187181,2415,0.06662975251674652
1749928616.0925345,2419,0.07565472275018692
1749928616.5414486,2421,0.07472088932991028
1749928616.765331,2422,0.0799752026796341
1749928622.03,2445,0.06623144447803497
1749928623.3937597,2451,0.06386138498783112
1749928629.573071,2478,0.05815211683511734
1749928631.1802177,2485,0.07157173752784729
1749928639.149718,2515,0.0713920146226883
1749928641.9442222,2527,0.07731792330741882
1749928642.888632,2531,0.19555389881134033
1749928643.1167657,2532,0.07875792682170868
1749928648.96353,2557,0.059660959988832474
1749928650.3689873,2563,0.06806343793869019
1749928651.0744846,2566,0.08208940923213959
1749928651.308685,2567,0.0814128965139389
1749928652.247672,2571,0.06612032651901245
1749928653.6506088,2577,0.05533347651362419
1749928655.3111193,2584,0.0728532075881958
1749928655.7924297,2586,0.09103275835514069
1749928656.719847,2590,0.07400646805763245
1749928659.0601065,2600,0.08969803154468536
1749928662.9205632,2612,0.37451329827308655
1749928663.3690088,2614,0.0666283443570137
1749928665.4759016,2623,0.07178959995508194
1749928666.6508021,2628,0.05851909890770912
1749928668.974173,2638,0.06900583207607269
1749928670.5797846,2645,0.09867745637893677
1749928674.7190905,2663,0.10294900834560394
1749928675.180814,2665,0.07322359830141068
1749928678.783419,2681,0.052087731659412384
1749928679.2468193,2683,0.10502510517835617
1749928681.0541778,2691,0.08413688093423843
1749928686.5386133,2710,0.08281546831130981
1749928689.8329191,2724,0.10574354231357574
1749928690.2976215,2726,0.05848114937543869
1749928692.385087,2735,0.07090393453836441
1749928694.2412221,2743,0.05275950953364372
1749928694.7108066,2745,0.08063322305679321
1749928700.5586216,2770,0.2042791098356247
1749928701.482211,2774,0.09273198992013931
1749928703.0856478,2781,0.06251890957355499
1749928710.8534727,2810,0.0832122415304184
1749928714.122726,2824,0.06976965069770813
1749928714.3547351,2825,0.06020894646644592
1749928716.9101028,2836,0.09178438037633896
1749928717.3786168,2838,0.07758066803216934
1749928717.8442874,2840,0.06366105377674103
1749928718.309108,2842,0.04021069407463074
1749928722.537577,2860,0.05150546133518219
1749928723.7087815,2865,0.051048021763563156
1749928726.7496858,2878,0.05265456810593605
1749928728.143713,2884,0.057608745992183685
1749928728.3708544,2885,0.11912533640861511
1749928729.0743058,2888,0.08348247408866882
1749928730.0170727,2892,0.11206412315368652
1749928733.4095614,2902,0.11354359984397888
1749928736.2066073,2914,0.05363409221172333
1749928738.7655723,2925,0.06854429095983505
1749928740.3856099,2932,0.18895581364631653
1749928741.082183,2935,0.1041770726442337
1749928748.0525732,2965,0.0942230150103569
1749928750.3733027,2975,0.10542137175798416
1749928753.6331725,2989,0.054544515907764435
1749928758.4309797,3005,0.05962812900543213
1749928760.0741937,3012,0.09643157571554184
1749928760.5428262,3014,0.09051799774169922
1749928761.0140285,3016,0.08037027716636658
1749928766.482593,3039,0.07847553491592407
1749928766.7123835,3040,0.04768819361925125
1749928767.8782554,3045,0.056220851838588715
1749928769.5364552,3052,0.056409552693367004
1749928771.4039392,3060,0.04454008489847183
1749928773.0411427,3067,0.06634394824504852
1749928775.1510773,3076,0.06042131781578064
1749928777.7014477,3087,0.06967241317033768
1749928778.6423252,3091,0.08160370588302612
1749928780.0522082,3097,0.04546988755464554
1749928782.1118958,3101,0.10501837730407715
1749928783.5204244,3107,0.14626172184944153
1749928783.7633922,3108,0.08665424585342407
1749928783.9962046,3109,0.08502423763275146
1749928788.6773698,3129,0.06310036778450012
1749928791.9408085,3143,0.07997995615005493
1749928792.8641381,3147,0.060189563781023026
1749928794.254304,3153,0.048938486725091934
1749928794.9404433,3156,0.054141394793987274
1749928796.3431573,3162,0.14265218377113342
1749928796.8089,3164,0.08545996248722076
1749928797.736297,3168,0.06103115156292915
1749928799.5901036,3176,0.04647161066532135
1749928803.293777,3192,0.0798795148730278
1749928803.9813983,3195,0.05718640983104706
1749928806.7919734,3202,0.05909683555364609
1749928815.208023,3239,0.06039825826883316
1749928827.977378,3294,0.13754457235336304
1749928829.129253,3299,0.08427546918392181
1749928830.7012517,3301,0.06975094974040985
1749928832.7965796,3310,0.080104760825634
1749928835.5955384,3322,0.0570070818066597
1749928839.7220805,3340,0.0645962730050087
1749928841.2571347,3347,0.06371618062257767
1749928843.9687793,3359,0.05176355689764023
1749928844.199112,3360,0.10395094752311707
1749928846.0212064,3368,0.08974498510360718
1749928851.8733628,3394,0.0732814148068428
1749928856.701993,3410,0.056977130472660065
1749928858.539766,3418,0.07995368540287018
1749928862.4542434,3435,0.059778276830911636
1749928863.6136115,3440,0.042509011924266815
1749928866.384903,3452,0.056644462049007416
1749928868.9168224,3463,0.15014159679412842
1749928875.7747288,3493,0.05766194313764572
1749928876.9247668,3498,0.06098443269729614
1749928885.8745558,3532,0.04126305133104324
1749928886.1034334,3533,0.042275071144104004
1749928887.7175941,3540,0.08514679968357086
1749928889.3481941,3547,0.056812431663274765
1749928894.431383,3569,0.05711759999394417
1749928895.357128,3573,0.06705603748559952
1749928896.5072286,3578,0.046079058200120926
1749928897.1986089,3581,0.0851602852344513
1749928901.3596468,3599,0.06028325855731964
1749928904.3207524,3607,0.04764227941632271
1749928907.321612,3620,0.08613757789134979
1749928908.220602,3624,0.05227380990982056
1749928908.910126,3627,0.12723079323768616
1749928910.5538027,3634,0.04628197103738785
1749928915.6705492,3656,0.05563206970691681
1749928917.277425,3663,0.06802712380886078
1749928918.4039853,3668,0.03855755180120468
1749928919.5569785,3673,0.05889531224966049
1749928922.7412813,3687,0.038693543523550034
1749928927.5411997,3703,0.050321586430072784
1749928928.0066416,3705,0.040614817291498184
1749928930.294826,3715,0.087851881980896
1749928933.0637481,3727,0.07384568452835083
1749928936.2802045,3741,0.07867566496133804
1749928937.2099264,3745,0.0600210539996624
1749928937.6717806,3747,0.07072688639163971
1749928939.515907,3755,0.04650791734457016
1749928939.975466,3757,0.04114237800240517
1749928941.5891402,3764,0.06671826541423798
1749928943.4512284,3772,0.07533484697341919
1749928943.6847942,3773,0.06415032595396042
1749928951.7375457,3803,0.0563664436340332
1749928956.380999,3823,0.07751747965812683
1749928958.9094856,3834,0.045913003385066986
1749928961.2301948,3844,0.05132824927568436
1749928962.1632736,3848,0.04903137683868408
1749928964.4873335,3858,0.1437157541513443
1749928965.4162216,3862,0.09977862983942032
1749928966.8369424,3868,0.0527140349149704
1749928971.2811131,3887,0.13482075929641724
1749928971.9846869,3890,0.0867997333407402
1749928973.3971007,3896,0.040013864636421204
1749928975.6174216,3901,0.06639669835567474
1749928976.54093,3905,0.07113172858953476
1749928976.769207,3906,0.08180949091911316
1749928976.995907,3907,0.048991404473781586
1749928979.5621727,3918,0.04621029272675514
1749928981.172759,3925,0.04637019708752632
1749928983.7247033,3936,0.05582955479621887
1749928983.957342,3937,0.062257423996925354
1749928985.5931342,3944,0.04953376203775406
1749928987.0217109,3950,0.06549951434135437
1749928987.9730227,3954,0.05044495686888695
1749928991.7157748,3970,0.049339719116687775
1749928992.4368486,3973,0.047906383872032166
1749928993.6012337,3978,0.050934530794620514
1749928995.7208583,3987,0.049144476652145386
1749928996.6519542,3991,0.11157195270061493
1749928997.3539019,3994,0.044245656579732895
1749929003.8440123,4017,0.10042501240968704
1749929007.576652,4033,0.08257147669792175
1749929008.2793367,4036,0.05922944098711014
1749929010.1399815,4044,0.05576803535223007
1749929010.3738236,4045,0.07944760471582413
1749929015.483189,4067,0.049098316580057144
1749929016.6468358,4072,0.06763371080160141
1749929018.7526984,4081,0.05011772736907005
1749929025.7399893,4106,0.04074440896511078
1749929026.435627,4109,0.09472635388374329
1749929027.836352,4115,0.11557234823703766
1749929029.934383,4124,0.07460904121398926
1749929031.0775156,4129,0.06973636150360107
1749929031.7551672,4132,0.08196264505386353
1749929032.875535,4137,0.04962366446852684
1749929033.787189,4141,0.05772468075156212
1749929038.4467208,4161,0.047331761568784714
1749929043.5518284,4183,0.07309967279434204
1749929052.4973898,4217,0.039232008159160614
1749929053.8700664,4223,0.04293777048587799
1749929056.1466324,4233,0.03759864717721939
1749929057.0758986,4237,0.060223162174224854
1749929063.1619391,4263,0.04995476081967354
1749929071.0433638,4297,0.04600668326020241
1749929073.0877829,4301,0.0734918862581253
1749929073.788903,4304,0.04515623301267624
1749929078.5104694,4324,0.05245356261730194
1749929079.2231724,4327,0.039156023412942886
1749929079.6902742,4329,0.03952421993017197
1749929081.5179074,4337,0.047028034925460815
1749929084.0760498,4348,0.04450296238064766
1749929084.5433328,4350,0.08608002960681915
1749929089.9337199,4373,0.04696565866470337
1749929090.8590462,4377,0.0342022068798542
1749929093.8868082,4390,0.06674432754516602
1749929094.1248648,4391,0.059044525027275085
1749929097.8575656,4402,0.0498972088098526
1749929099.4439638,4409,0.04536805674433708
1749929103.6016114,4427,0.06214062497019768
1749929105.6716137,4436,0.03866458311676979
1749929106.588181,4440,0.05474177002906799
1749929109.1165674,4451,0.06524181365966797
1749929116.0174444,4481,0.059195294976234436
1749929116.9321856,4485,0.04699669033288956
1749929118.3193767,4491,0.03533225879073143
1749929119.0039608,4494,0.06275040656328201
1749929124.4686477,4513,0.09677761793136597
1749929124.9424264,4515,0.037547968327999115
1749929125.888561,4519,0.030860446393489838
1749929127.2847245,4525,0.05218172445893288
1749929129.144128,4533,0.05619852617383003
1749929131.7139459,4544,0.030083440244197845
1749929132.4214182,4547,0.04525472968816757
1749929134.5102232,4556,0.052739206701517105
1749929134.963555,4558,0.042402517050504684
1749929136.1107566,4563,0.08936790376901627
1749929137.0519562,4567,0.03213827684521675
1749929139.8407073,4579,0.060002051293849945
1749929141.9495127,4588,0.04827968776226044
1749929153.1809375,4631,0.0895250216126442
1749929155.724495,4642,0.047975558787584305
1749929156.1921387,4644,0.058690883219242096
1749929157.1058261,4648,0.047635991126298904
1749929159.4353602,4658,0.09532621502876282
1749929160.130169,4661,0.08537133038043976
