Method,Avg Execution Time (s),Avg Step Time (ms),Steps per Second,Success Rate (%),Avg Reward,Memory Usage (MB),Real-time Factor,Relative Speed
MAPPO,0.6977320194244385,1.0089530944824219,991.1263521254032,0.0,0.37659168243408203,9.03671875,0.13954640388488768,1.0
MADP,0.5056151049477713,63.20188811847141,1.9777890142409753,0.0,6.60986099243164,160.0849609375,0.10318675611179007,1.0
CLF-QP,2.2743391513824465,33.797526359558105,29.58796420073492,0.0,14.212713432312011,8.358203125,0.4548678302764893,1.0
