Method,Avg Execution Time (s),Avg Step Time (ms),Steps per Second,Success Rate (%),Avg Reward,Memory Usage (MB),Real-time Factor,Relative Speed
MAPPO,0.84681077003479,1.0415544509887695,960.1034291108631,0.0,-0.9643793106079102,9.01904296875,0.16936215400695803,1.0
MADP,0.5421778883252826,67.77223604066032,1.8444131004472921,0.0,7.160556125640869,160.04765625,0.11064854863781275,1.0
CLF-QP,2.824059820175171,42.20108604431152,23.696072630689905,0.0,13.870149946212768,8.33544921875,0.5648119640350341,1.0
