Method,Avg Execution Time (s),Avg Step Time (ms),Steps per Second,Success Rate (%),Avg Reward,Memory Usage (MB),Real-time Factor,Relative Speed
MAPPO,1.0180152893066405,0.9761428833007811,1024.4401891437726,0.0,4.659826755523682,9.04853515625,0.2036030578613281,1.0
MADP,0.6038479668753488,75.4809958594186,1.656045983187732,0.0,9.288177394866944,160.13115234375,0.12323427895415281,1.0
CLF-QP,3.415591669082642,50.565260887146,19.776423229217556,0.0,26.844452714920045,8.35390625,0.6831183338165283,1.0
