Method,Avg Execution Time (s),Avg Step Time (ms),Steps per Second,Success Rate (%),Avg Reward,Memory Usage (MB),Real-time Factor,Relative Speed
MAPPO,0.5390329837799073,0.9622802734375,1039.1982747684892,0.0,0.5977088212966919,9.120703125,0.10780659675598145,1.0
MADP,0.4352072988237653,54.400912352970664,2.297755581541715,0.0,5.729040813446045,160.31943359375,0.08881781608648273,1.0
CLF-QP,1.6823626518249513,25.232457160949703,39.63149500745498,0.0,8.367126417160033,8.58544921875,0.33647253036499025,1.0
